time,x,y,z
13.2,-672099.485349272,3032463.55832512,1616060.16518833
13.25,-672350.855799229,3032296.44188938,1616102.30023466
13.3,-672602.225044408,3032129.31750418,1616144.43131394
13.35,-672853.592331239,3031962.18575868,1616186.55831409
13.4,-673104.957355097,3031795.04677766,1616228.68117452
13.45,-673356.320843879,3031627.90014333,1616270.80007977
13.5,-673607.683296066,3031460.7455308,1616312.91504412
13.55,-673859.04351588,3031293.58364962,1616355.02584081
13.6,-674110.402589719,3031126.41377875,1616397.13268807
13.65,-674361.758959214,3030959.23704287,1616439.23531648
13.7,-674613.11438706,3030792.05219697,1616481.33399021
13.75,-674864.468085231,3030624.85983817,1616523.42860868
13.8,-675115.820142066,3030457.65987653,1616565.51924849
13.85,-675367.16996555,3030290.45265472,1616607.60576692
13.9,-675618.518063904,3030123.23781132,1616649.68824059
13.95,-675869.865124287,3029956.01496286,1616691.76675836
14,-676121.21071741,3029788.78437922,1616733.84124427
14.05,-676372.553995783,3029621.54666975,1616775.91157521
14.1,-676623.8953983,3029454.30149344,1616817.97780631
14.15,-676875.235397357,3029287.04853953,1616860.04008706
14.2,-677126.573334815,3029119.78826867,1616902.09828991
14.25,-677377.91021666,3028952.51986243,1616944.15254394
14.3,-677629.245065426,3028785.24412621,1616986.20268209
14.35,-677880.578172729,3028617.96087738,1617028.24875967
14.4,-678131.909338143,3028450.67017568,1617070.29070839
14.45,-678383.239126239,3028283.37171902,1617112.32865698
14.5,-678634.567083123,3028116.06579196,1617154.36252533
14.55,-678885.893466138,3027948.75209809,1617196.39244237
14.6,-679137.217773985,3027781.43105314,1617238.41825535
14.65,-679388.540598207,3027614.10229028,1617280.44003723
14.7,-679639.861675096,3027446.76597209,1617322.45773429
14.75,-679891.18087972,3027279.42222407,1617364.4713485
14.8,-680142.498737038,3027112.07064392,1617406.48094158
14.85,-680393.814801751,3026944.71155785,1617448.48645657
14.9,-680645.128866315,3026777.34509264,1617490.48790741
14.95,-680896.441304607,3026609.97086543,1617532.48532006
15,-681147.752268726,3026442.58892567,1617574.47875558
15.05,-681399.061050377,3026275.19974387,1617616.46804467
15.1,-681650.368970648,3026107.80239601,1617658.45339218
15.15,-681901.673971112,3025940.39831216,1617700.43447738
15.2,-682152.978433375,3025772.98584971,1617742.41168749
15.25,-682404.280315089,3025605.56640432,1617784.38467347
15.3,-682655.580372185,3025438.13944819,1617826.35361413
15.35,-682906.879538755,3025270.70422989,1617868.31868693
15.4,-683158.176359404,3025103.26189135,1617910.27959227
15.45,-683409.471820903,3024935.8117504,1617952.23648493
15.5,-683660.764989416,3024768.35439942,1617994.18919964
15.55,-683912.057221549,3024600.8889874,1618036.13798019
15.6,-684163.347138816,3024433.41639271,1618078.08258186
15.65,-684414.6355866,3024265.93604876,1618120.02316914
15.7,-684665.9218873,3024098.44837889,1618161.95969566
15.75,-684917.206908422,3023930.95273113,1618203.89222476
15.8,-685168.490106183,3023763.44960975,1618245.82067424
15.85,-685419.771685391,3023595.9388459,1618287.74506221
15.9,-685671.050945398,3023428.4208938,1618329.66526512
15.95,-685922.328707177,3023260.89524972,1618371.58143748
16,-686173.605236559,3023093.36166139,1618413.49359658
16.05,-686424.879546357,3022925.8208406,1618455.40169925
16.1,-686676.152829077,3022758.27198418,1618497.30586218
16.15,-686927.423167431,3022590.71628567,1618539.20573993
16.2,-687178.692365929,3022423.15259453,1618581.10165219
16.25,-687429.959852796,3022255.58127716,1618622.99346632
16.3,-687681.226202233,3022088.00202215,1618664.88131002
16.35,-687932.489886727,3021920.41580078,1618706.76492146
16.4,-688183.751999301,3021752.82188584,1618748.64454805
16.45,-688435.012568271,3021585.22029857,1618790.52016714
16.5,-688686.271452936,3021417.61106625,1618832.39169526
16.55,-688937.528359046,3021249.99444924,1618874.25911114
16.6,-689188.783771424,3021082.37006128,1618916.1224659
16.65,-689440.036829869,3020914.73847749,1618957.98164827
16.7,-689691.288380349,3020747.09912633,1618999.83679858
16.75,-689942.538718161,3020579.45180041,1619041.6880491
16.8,-690193.786840601,3020411.79725135,1619083.53515002
16.85,-690445.033427018,3020244.13495548,1619125.37818177
16.9,-690696.277941714,3020076.4653327,1619167.21708255
16.95,-690947.521093149,3019908.78787045,1619209.05195146
17,-691198.76216299,3019741.10306433,1619250.88267673
17.05,-691450.001837365,3019573.41045857,1619292.70938869
17.1,-691701.239415883,3019405.71047423,1619334.53203738
17.15,-691952.474754578,3019238.00327764,1619376.35053855
17.2,-692203.709280232,3019070.28785026,1619418.16508758
17.25,-692454.941790234,3018902.56501761,1619459.97551693
17.3,-692706.172288429,3018734.83469188,1619501.78181389
17.35,-692957.400950203,3018567.09685524,1619543.58400693
17.4,-693208.628286538,3018399.3511663,1619585.38220574
17.45,-693459.853392117,3018231.59818685,1619627.17631344
17.5,-693711.077347995,3018063.83726292,1619668.96644502
17.55,-693962.298997792,3017896.06909384,1619710.7523751
17.6,-694213.519433225,3017728.29301614,1619752.5343101
17.65,-694464.737269693,3017560.5098942,1619794.31199698
17.7,-694715.954158955,3017392.7186922,1619836.08573938
17.75,-694967.168786799,3017224.92021237,1619877.85535665
17.8,-695218.381423982,3017057.11432312,1619919.62089825
17.85,-695469.592887958,3016889.30046551,1619961.38243691
17.9,-695720.80217571,3016721.47930906,1620003.13981005
17.95,-695972.009720595,3016553.65055482,1620044.89308229
18,-696223.215270533,3016385.8143883,1620086.64222084
18.05,-696474.419777683,3016217.97010485,1620128.38739432
18.1,-696725.621927304,3016050.1185599,1620170.12847259
18.15,-696976.822509178,3015882.25933485,1620211.86550443
18.2,-697228.020890898,3015714.39279433,1620253.59835041
18.25,-697479.218048058,3015546.51834321,1620295.32719978
18.3,-697730.4132845,3015378.63638822,1620337.05190808
18.35,-697981.606854332,3015210.74682698,1620378.77254944
18.4,-698232.79813017,3015042.85000538,1620420.48900141
18.45,-698483.98819811,3014874.94523956,1620462.20155928
18.5,-698735.176083995,3014707.03313715,1620503.90992898
18.55,-698986.362324637,3014539.1134082,1620545.61423471
18.6,-699237.546988342,3014371.18593717,1620587.31445051
18.65,-699488.729175832,3014203.25139613,1620629.0104632
18.7,-699739.910457789,3014035.30867383,1620670.70250334
18.75,-699991.089234299,3013867.35886596,1620712.39043397
18.8,-700242.267032118,3013699.40091396,1620754.07438815
18.85,-700493.442210732,3013531.43597856,1620795.75411071
18.9,-700744.615767527,3013363.46332686,1620837.42973605
18.95,-700995.78780638,3013195.48296103,1620879.101314
19,-701246.95795958,3013027.49506395,1620920.76876949
19.05,-701498.126038126,3012859.49979811,1620962.43213925
19.1,-701749.29292113,3012691.4965268,1621004.09151572
19.15,-702000.457131344,3012523.48629588,1621045.74665807
19.2,-702251.620279889,3012355.46797621,1621087.39779773
19.25,-702502.781522297,3012187.4421841,1621129.04481919
19.3,-702753.940522035,3012019.40909922,1621170.68764823
19.35,-703005.098213164,3011851.36812283,1621212.32650599
19.4,-703256.25368977,3011683.31983227,1621253.96122254
19.45,-703507.407680336,3011515.26376043,1621295.59189167
19.5,-703758.559452165,3011347.20040163,1621337.21837535
19.55,-704009.710127072,3011179.12899432,1621378.84086192
19.6,-704260.858306056,3011011.05049227,1621420.45912375
19.65,-704512.005201943,3010842.96404521,1621462.07337216
19.7,-704763.149910321,3010674.87029414,1621503.68353248
19.75,-705014.292903221,3010506.76888281,1621545.28958758
19.8,-705265.434108483,3010338.65991401,1621586.89154253
19.85,-705516.573554969,3010170.54331628,1621628.48937346
19.9,-705767.711240958,3010002.41914035,1621670.0831083
19.95,-706018.846917041,3009834.28750539,1621711.67270576
20,-706269.980997335,3009666.14814799,1621753.25831636
20.05,-706521.112824954,3009498.0015124,1621794.83973268
20.1,-706772.243477368,3009329.8468756,1621836.41713474
20.15,-707023.371584791,3009161.68516818,1621877.99029999
20.2,-707274.498650317,3008993.51534085,1621919.55946663
20.25,-707525.623222885,3008825.33841868,1621961.12442381
20.3,-707776.746158054,3008657.15377253,1622002.68536175
20.35,-708027.867652104,3008488.96131334,1622044.24225558
20.4,-708278.986923823,3008320.76155113,1622085.79496022
20.45,-708530.104387434,3008152.5542077,1622127.34354042
20.5,-708781.219887255,3007984.3393943,1622168.88797644
20.55,-709032.334338949,3007816.11646609,1622210.42841747
20.6,-709283.446096838,3007647.88654971,1622251.96469823
20.65,-709534.556226517,3007479.64892331,1622293.49688392
20.7,-709785.664465304,3007311.40375171,1622335.0249268
20.75,-710036.771583874,3007143.15055896,1622376.54896745
20.8,-710287.876011741,3006974.89034711,1622418.06874021
20.85,-710538.979464778,3006806.62197071,1622459.58462792
20.9,-710790.079918195,3006638.34682305,1622501.09620069
20.95,-711041.179244126,3006470.06361797,1622542.60375021
21,-711292.276737966,3006301.7728493,1622584.10717603
21.05,-711543.372476327,3006133.4744508,1622625.60648264
21.1,-711794.465873207,3005965.1688122,1622667.10162094
